Sido,Sigun,id,LeeJ,Yoon,Shim,Oh,Huh,LeeB,Ok,KimK,Cho,KimJ,LeeK,KimM,
??,???,46860,0.8864,0.0888,0.0112,0.0006,0.0051,0.0005,0,0.0003,0.0003,0.0016,0.0007,0.0039,
??,???,46870,0.8584,0.1128,0.0132,0.0006,0.0061,0.0004,0.0001,0.0004,0.0002,0.0024,0.0009,0.0039,
??,???,46880,0.8633,0.1134,0.0122,0.0005,0.006,0.0001,0.0002,0.0001,0.0001,0.0008,0.0006,0.0021,
??,???,46890,0.8889,0.0882,0.0099,0.0004,0.0057,0.0003,0.0001,0.0004,0.0001,0.0018,0.0005,0.0032,
??,???,46900,0.8681,0.1074,0.0101,0.0007,0.0065,0.0006,0,0.0003,0.0006,0.0014,0.0003,0.0032,
??,???,46910,0.8835,0.0946,0.0093,0.0008,0.005,0.0006,0.0001,0.0002,0.0006,0.0009,0.0005,0.0033,
??,?????,47111,0.2555,0.7079,0.0215,0.0004,0.0112,0.0002,0.0001,0.0002,0.0008,0.0009,0.0005,0.0004,
??,?????,47113,0.248,0.7183,0.0215,0.0004,0.0084,0.0002,0.0001,0.0003,0.001,0.0007,0.0004,0.0002,
??,???,47130,0.2497,0.7149,0.0196,0.0004,0.0105,0.0004,0.0001,0.0003,0.0013,0.0013,0.0005,0.0004,
??,???,47150,0.2336,0.7315,0.0194,0.0007,0.0104,0.0002,0.0001,0.0002,0.0012,0.0008,0.0008,0.0006,
??,???,47170,0.2913,0.6784,0.0157,0.0004,0.0092,0.0002,0.0002,0.0002,0.0011,0.0007,0.0012,0.0007,
??,???,47190,0.2674,0.6937,0.022,0.0004,0.0127,0.0002,0.0001,0.0002,0.0013,0.0006,0.0003,0.0004,
??,???,47210,0.2554,0.7152,0.0164,0.0003,0.0081,0.0002,0.0001,0.0002,0.0009,0.001,0.001,0.0006,
??,???,47230,0.2041,0.7626,0.0159,0.0004,0.0111,0.0002,0.0003,0.0002,0.0017,0.0013,0.0008,0.0009,
??,???,47250,0.2015,0.7663,0.0161,0.0006,0.0091,0.0004,0.0002,0.0003,0.0014,0.0012,0.0014,0.0008,
??,???,47280,0.2012,0.7663,0.0164,0.0008,0.0083,0.0002,0,0.0004,0.0023,0.0011,0.0016,0.0007,
??,???,47290,0.2305,0.7337,0.0202,0.0005,0.0106,0.0002,0.0001,0.0002,0.0016,0.0008,0.0003,0.0004,
??,???,47720,0.1389,0.8319,0.0119,0.0007,0.0085,0.0002,0.0001,0.0006,0.0016,0.0014,0.0025,0.0012,
??,???,47730,0.1655,0.8026,0.014,0.0007,0.0093,0.0003,0.0004,0.0004,0.0011,0.0023,0.0018,0.0009,
??,???,47750,0.1996,0.7666,0.016,0.0008,0.0083,0.0002,0.0002,0.0002,0.0025,0.0017,0.0027,0.0006,
??,???,47760,0.2339,0.735,0.017,0.0009,0.0055,0.0004,0,0.0007,0.0015,0.0009,0.0028,0.0009,
??,???,47770,0.1694,0.8043,0.012,0.0006,0.0071,0.0006,0.0001,0.0002,0.0017,0.0008,0.0017,0.0008,
??,???,47820,0.1843,0.7837,0.0159,0.0005,0.0086,0.0003,0.0001,0.0004,0.0016,0.0013,0.0017,0.0008,
??,???,47830,0.1747,0.7921,0.0143,0.0009,0.0097,0.0003,0.0002,0.0004,0.0022,0.0019,0.0019,0.0008,
